Rent (INR),Location,Distance from College (km)
7500,"Clement Town, Post Office Road, Lane No 10",6.8
12500,St Mary Church,9.5
11500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",4.4
12500,Bharuwala colony,2.8
11000,Sahastradhara,5.0
11500,Shubhash Nagar,7.5
8500,"Lane-3, Clement Town, Dehradun",6.4
9500,"Lane-10, Post Office Road",2.8
6000,"Lane-10, Post Office Road",9.3
7500,Shubhash Nagar,4.2
5500,jaligaon,0.9
7500,ISBT road,3.3
12000,"Clement Town, Post Office Road, Lane No 10",9.7
11000,Sahastradhara,5.4
12000,Clement Town,8.4
6500,Shubhash Nagar,4.5
12500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",1.9
11500,air force colony,8.3
10000,"Lane-2, Clement Town, Dehradun",9.2
4500,Manav Kendra,1.4
5000,GK army Pre Primary School,6.2
3000,Tibetan Colony,8.6
6000,jaligaon,4.0
8500,Bell Road,2.4
3500,ISBT road,3.3
7500,jaligaon,8.4
8000,Subhash Nagar,8.5
7000,Manav Kendra,7.6
3000,"Lane-2, Clement Town, Dehradun",4.8
5500,"Lane-10, Post Office Road",6.0
4500,"Lane-2, Clement Town, Dehradun",6.9
7500,jaligaon,1.6
10000,Manav Kendra,3.6
11000,Tibetan Colony,4.8
4000,Bell Road,3.3
7000,"Lane-3, Clement Town, Dehradun",2.0
5000,air force colony,7.3
9500,Tibetan Colony,4.5
4000,Bell Road,7.4
6000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.0
5000,jaligaon,5.0
5000,"Lane-2, Clement Town, Dehradun",6.9
11000,Subhash Nagar,5.3
5500,"Lane-3, Clement Town, Dehradun",1.2
11000,"Subhash Nagar, Dehradun",5.2
3500,ISBT road,3.3
11500,air force colony,7.5
12000,Bharuwala colony,9.3
6500,Shubhash Nagar,4.9
3000,GK army Pre Primary School,5.1
12000,Bell Road,5.5
11000,GK army Pre Primary School,4.2
10000,Manav Kendra,9.0
5500,St Mary Church,6.1
3500,"Subhash Nagar, Dehradun",6.8
3500,St Mary Church,8.7
7000,Sahastradhara,2.5
8000,Manav Kendra,8.5
9000,Subhash Nagar,1.8
5000,Manav Kendra,8.5
12000,Bharuwala colony,5.5
10000,air force colony,7.1
6500,ISBT road,3.3
8500,St Mary Church,3.4
12000,St Mary Church,3.2
5000,"Lane-2, Clement Town, Dehradun",1.4
11500,Shubhash Nagar,7.8
5500,"Clement Town, Post Office Road, Lane No 10",4.5
11000,"Subhash Nagar, Dehradun",9.3
7000,"Subhash Nagar, Dehradun",3.7
4000,Subhash Nagar,2.9
4000,Bharuwala colony,6.5
4500,Manav Kendra,7.8
7000,Subhash Nagar,5.8
8000,GK army Pre Primary School,5.1
3000,"Lane-10, Post Office Road",8.2
4500,jaligaon,5.5
7000,"Lane-3, Clement Town, Dehradun",4.2
10500,Shubhash Nagar,4.4
3000,"Lane-3, Clement Town, Dehradun",8.5
7000,"Clement Town, Post Office Road, Lane No 10",8.5
11000,"Lane-10, Post Office Road",0.3
6500,"Lane-2, Clement Town, Dehradun",2.2
6000,Tibetan Colony,7.8
5000,"Lane-2, Clement Town, Dehradun",4.9
4500,ISBT road,3.3
4000,"Lane-3, Clement Town, Dehradun",4.1
6000,Tibetan Colony,5.3
8000,"Lane-10, Post Office Road",1.8
10500,GK army Pre Primary School,4.5
11000,air force colony,1.6
12500,Clement Town,3.1
6000,Mohabbewala,2.4
3500,GK army Pre Primary School,8.6
6500,"Subhash Nagar, Dehradun",7.7
10500,jaligaon,9.1
6500,Bharuwala colony,4.8
4000,Bell Road,5.9
5500,Mohabbewala,1.3
4000,Sahastradhara,2.9
7500,"Lane-3, Clement Town, Dehradun",5.2
7000,GK army Pre Primary School,6.6
5500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.9
10000,Sahastradhara,5.7
3000,"Subhash Nagar, Dehradun",5.6
9500,"Lane-2, Clement Town, Dehradun",4.7
9000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",1.9
10500,"Lane-10, Post Office Road",5.6
11500,"Lane-10, Post Office Road",7.6
4500,Shubhash Nagar,2.2
9000,Sahastradhara,3.9
3000,Manav Kendra,8.1
6500,Sahastradhara,2.6
10500,Shubhash Nagar,1.5
7000,Tibetan Colony,6.9
6000,GK army Pre Primary School,1.5
10500,St Mary Church,7.0
6500,Tibetan Colony,9.9
12000,jaligaon,4.5
9000,"Subhash Nagar, Dehradun",5.9
12000,jaligaon,6.4
6500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",0.7
10500,air force colony,5.1
7500,"Lane-2, Clement Town, Dehradun",2.9
7000,Shubhash Nagar,8.1
5000,jaligaon,9.6
6500,Clement Town,3.1
9500,Shubhash Nagar,7.8
7500,"Clement Town, Post Office Road, Lane No 10",9.9
5000,Tibetan Colony,6.5
5000,"Subhash Nagar, Dehradun",4.6
4500,Tibetan Colony,1.9
5000,Shubhash Nagar,7.9
11000,Mohabbewala,5.0
12500,Shubhash Nagar,4.5
9000,Mohabbewala,2.3
4500,Bell Road,2.7
10000,GK army Pre Primary School,5.6
11500,air force colony,3.7
3500,"Clement Town, Post Office Road, Lane No 10",9.2
10000,"Subhash Nagar, Dehradun",2.9
12000,St Mary Church,6.2
12000,"Lane-10, Post Office Road",8.9
6500,air force colony,6.8
8500,Bell Road,1.9
5500,air force colony,3.6
7000,Manav Kendra,7.1
8500,Tibetan Colony,6.2
6500,Subhash Nagar,3.7
8000,"Lane-2, Clement Town, Dehradun",5.2
4000,"Lane-3, Clement Town, Dehradun",8.4
6500,Tibetan Colony,8.5
8000,"Subhash Nagar, Dehradun",2.0
3000,GK army Pre Primary School,1.7
9500,Bell Road,7.9
10500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",2.7
12500,Sahastradhara,5.2
4000,Bell Road,9.8
12500,air force colony,8.9
7500,Bharuwala colony,6.1
9500,Clement Town,9.2
6000,Bharuwala colony,9.7
7000,"Lane-10, Post Office Road",5.0
10500,Manav Kendra,5.9
11500,Subhash Nagar,6.9
4000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",1.5
5000,Shubhash Nagar,9.5
9000,"Lane-2, Clement Town, Dehradun",4.0
9500,air force colony,8.0
3000,Bharuwala colony,0.6
12000,air force colony,2.5
4000,"Subhash Nagar, Dehradun",9.7
3500,"Lane-2, Clement Town, Dehradun",1.0
8000,"Lane-10, Post Office Road",6.0
11500,St Mary Church,9.4
9500,Shubhash Nagar,1.5
7000,"Lane-10, Post Office Road",3.5
3000,jaligaon,8.1
10000,St Mary Church,2.2
5500,"Subhash Nagar, Dehradun",4.3
8500,Manav Kendra,8.7
3000,Subhash Nagar,3.8
12500,jaligaon,4.1
5500,Bharuwala colony,5.2
8000,Sahastradhara,1.6
7500,Manav Kendra,9.4
9500,ISBT road,3.3
11500,Subhash Nagar,0.5
6500,"Subhash Nagar, Dehradun",8.1
10500,Subhash Nagar,9.3
9000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",1.5
12000,Clement Town,0.4
6000,Bharuwala colony,1.9
8500,GK army Pre Primary School,5.3
11000,"Clement Town, Post Office Road, Lane No 10",6.1
8000,jaligaon,6.6
8000,GK army Pre Primary School,3.4
11500,GK army Pre Primary School,4.2
7500,jaligaon,5.5
9500,Sahastradhara,4.2
11000,ISBT road,3.3
10500,GK army Pre Primary School,0.8
5500,Shubhash Nagar,4.7
10500,ISBT road,3.3
5500,"Subhash Nagar, Dehradun",6.2
10500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.9
8000,"Lane-10, Post Office Road",4.0
8500,GK army Pre Primary School,1.7
5000,Manav Kendra,1.1
4000,Bell Road,8.4
5000,Bell Road,1.9
9500,Sahastradhara,4.0
12500,"Lane-3, Clement Town, Dehradun",0.9
9500,ISBT road,3.3
8500,Sahastradhara,3.8
12000,"Lane-3, Clement Town, Dehradun",9.0
3000,St Mary Church,10.0
11000,ISBT road,3.3
7500,Manav Kendra,6.3
